"Início_do_EPU","Término_do_EPU","Duração_do_EPU","Estacoes no 2d EPU","MÉD concentrações EPU","MÁX concentrações EPU"
"2014-07-30","2014-08-04",6,12,65.5162083333333,131
"2014-08-21","2014-08-26",6,12,77.4602205882353,165.71
"2014-09-07","2014-09-15",9,12,61.6711111111111,122
"2014-10-06","2014-10-19",14,12,65.9650833333333,116.25
"2015-06-07","2015-06-11",5,11,65.3220833333333,117.83
"2015-07-14","2015-07-18",5,8,56.5959333333333,109.96
"2015-07-27","2015-08-19",24,12,61.6668480565371,112.33
"2015-09-15","2015-09-19",5,7,57.1452363636364,106.29
"2015-09-21","2015-09-25",5,10,82.6455185185185,155.78
"2016-04-19","2016-04-25",7,7,55.6726623376623,108.58
"2016-06-14","2016-06-18",5,11,67.1350344827586,131
"2016-07-04","2016-07-15",12,10,66.4220431654676,139.83
"2016-08-25","2016-08-30",6,11,65.7627777777778,237
"2017-07-10","2017-07-14",5,10,56.2104406779661,148.33
"2017-07-20","2017-07-26",7,12,53.3932307692308,90.833
"2017-08-26","2017-08-30",5,9,68.1284905660377,104.21
"2017-09-04","2017-09-28",25,11,64.6213,144.17
"2018-06-20","2018-07-08",19,11,67.7996403508772,182.13
"2018-07-12","2018-07-23",12,12,67.6219652777778,162.83
"2018-07-26","2018-07-30",5,11,64.2402833333333,155.04
"2019-06-28","2019-07-03",6,8,56.1941666666667,106.63
"2019-07-10","2019-07-14",5,12,73.4337,100.79
"2019-07-22","2019-07-26",5,11,57.8533272727273,97.833
"2019-08-08","2019-08-12",5,11,60.3047166666667,109.17
"2019-09-15","2019-09-20",6,12,66.0735972222222,149.27
"2020-07-20","2020-07-25",6,10,58.9446923076923,100.63
"2020-08-07","2020-08-14",8,8,58.4534130434783,135.75
"2020-09-09","2020-09-14",6,11,72.0334153846154,153.38
"2021-05-24","2021-05-28",5,10,56.6973035714286,92.333
"2021-07-09","2021-07-15",7,12,65.022380952381,101.33
"2021-07-20","2021-07-27",8,9,63.60171875,141.75
"2021-08-16","2021-08-26",11,12,79.8959236641221,178
